horizon,fold,series,max_lag,effective_lag,observations,q_statistic,p_value,reject_at_5pct
100,1,non_overlapping_ridge_residual_bps,5,5,401,9.018306570394195,0.10833619454323044,0
100,1,non_overlapping_ridge_residual_bps,10,10,401,21.820144071495562,0.016047534383707346,1
100,1,non_overlapping_ridge_residual_bps,20,20,401,55.730296798299804,3.1915134059274595e-05,1
100,2,non_overlapping_ridge_residual_bps,5,5,401,5.128380314478065,0.4004143910841115,0
100,2,non_overlapping_ridge_residual_bps,10,10,401,7.659950784438558,0.6620132634545423,0
100,2,non_overlapping_ridge_residual_bps,20,20,401,17.88197961921093,0.5951826667457417,0
100,3,non_overlapping_ridge_residual_bps,5,5,401,1.2241651864153138,0.9425381407893506,0
100,3,non_overlapping_ridge_residual_bps,10,10,401,5.698187078001714,0.8399508737208427,0
100,3,non_overlapping_ridge_residual_bps,20,20,401,16.646541063917116,0.6757914667241347,0
100,4,non_overlapping_ridge_residual_bps,5,5,401,8.443458752083556,0.1334300715248207,0
100,4,non_overlapping_ridge_residual_bps,10,10,401,22.043290324558615,0.014885576336022279,1
100,4,non_overlapping_ridge_residual_bps,20,20,401,31.888003426776987,0.04450641515866625,1
100,5,non_overlapping_ridge_residual_bps,5,5,401,5.485285510667058,0.3595620760874908,0
100,5,non_overlapping_ridge_residual_bps,10,10,401,7.800374438095034,0.6483288462008717,0
100,5,non_overlapping_ridge_residual_bps,20,20,401,13.969687153040617,0.8320295355956964,0
