horizon,fold,series,lag,autocorrelation
50,1,one_event_mid_log_return,1,-0.135526592638318
50,1,one_event_mid_log_return,5,-0.02934815961852886
50,1,one_event_mid_log_return,10,0.003346793591242991
50,1,one_event_mid_log_return,20,-0.011410016993634742
50,1,one_event_mid_log_return,50,0.0006760954803970372
50,1,one_event_mid_log_return,100,-0.003738572792141348
50,1,squared_one_event_mid_log_return,1,0.17292263328909457
50,1,squared_one_event_mid_log_return,5,0.07488657842724165
50,1,squared_one_event_mid_log_return,10,0.02737106264631335
50,1,squared_one_event_mid_log_return,20,0.018983382452323887
50,1,squared_one_event_mid_log_return,50,0.019141328723297303
50,1,squared_one_event_mid_log_return,100,0.0008637287567312336
50,1,non_overlapping_ridge_residual_bps,1,-0.04505115933418573
50,1,non_overlapping_ridge_residual_bps,2,-0.027732684813727822
50,1,non_overlapping_ridge_residual_bps,5,-0.05632668623271786
50,1,non_overlapping_ridge_residual_bps,10,0.04822633302279276
50,1,non_overlapping_ridge_residual_bps,20,-0.006446657231104031
50,2,one_event_mid_log_return,1,-0.128701346322459
50,2,one_event_mid_log_return,5,0.0018480068210390609
50,2,one_event_mid_log_return,10,-0.014962105098446548
50,2,one_event_mid_log_return,20,0.014187546971744514
50,2,one_event_mid_log_return,50,0.0026824965901706167
50,2,one_event_mid_log_return,100,-0.0009466550116566084
50,2,squared_one_event_mid_log_return,1,0.21177156512178927
50,2,squared_one_event_mid_log_return,5,0.04744085398528319
50,2,squared_one_event_mid_log_return,10,0.04334949686777082
50,2,squared_one_event_mid_log_return,20,0.008166664759224068
50,2,squared_one_event_mid_log_return,50,0.01998205821142094
50,2,squared_one_event_mid_log_return,100,0.0051903491174698614
50,2,non_overlapping_ridge_residual_bps,1,-0.03826105445722931
50,2,non_overlapping_ridge_residual_bps,2,0.08413824089664076
50,2,non_overlapping_ridge_residual_bps,5,-0.09898632437842156
50,2,non_overlapping_ridge_residual_bps,10,0.01855795697469248
50,2,non_overlapping_ridge_residual_bps,20,-0.06481364235576757
50,3,one_event_mid_log_return,1,-0.09955981186428407
50,3,one_event_mid_log_return,5,-0.006761048131328906
50,3,one_event_mid_log_return,10,-0.006420941469749821
50,3,one_event_mid_log_return,20,0.011030990132778577
50,3,one_event_mid_log_return,50,-0.001192726659774735
50,3,one_event_mid_log_return,100,0.0007040842150920892
50,3,squared_one_event_mid_log_return,1,0.1606594171479427
50,3,squared_one_event_mid_log_return,5,0.025505143060245653
50,3,squared_one_event_mid_log_return,10,0.01223346635499609
50,3,squared_one_event_mid_log_return,20,0.009023589290734896
50,3,squared_one_event_mid_log_return,50,-0.00454016238458025
50,3,squared_one_event_mid_log_return,100,0.008824232485230605
50,3,non_overlapping_ridge_residual_bps,1,-0.02759387138519188
50,3,non_overlapping_ridge_residual_bps,2,0.018254578860189663
50,3,non_overlapping_ridge_residual_bps,5,0.01223198821478735
50,3,non_overlapping_ridge_residual_bps,10,0.03597322715307834
50,3,non_overlapping_ridge_residual_bps,20,-0.011233550963526146
50,4,one_event_mid_log_return,1,-0.11561909551309568
50,4,one_event_mid_log_return,5,-0.0135426003986803
50,4,one_event_mid_log_return,10,-0.00013727335072352386
50,4,one_event_mid_log_return,20,0.013520617907983612
50,4,one_event_mid_log_return,50,0.000345531177169198
50,4,one_event_mid_log_return,100,-0.0039701073309228565
50,4,squared_one_event_mid_log_return,1,0.13708078814760494
50,4,squared_one_event_mid_log_return,5,0.08835299947086064
50,4,squared_one_event_mid_log_return,10,0.04787149791379269
50,4,squared_one_event_mid_log_return,20,0.06223703582273245
50,4,squared_one_event_mid_log_return,50,0.011113392305461652
50,4,squared_one_event_mid_log_return,100,0.008036480009310456
50,4,non_overlapping_ridge_residual_bps,1,-0.08968061262829605
50,4,non_overlapping_ridge_residual_bps,2,-0.05838061726015792
50,4,non_overlapping_ridge_residual_bps,5,-0.02715325361934489
50,4,non_overlapping_ridge_residual_bps,10,-0.09196231630586835
50,4,non_overlapping_ridge_residual_bps,20,0.07985084164712504
50,5,one_event_mid_log_return,1,-0.08155531377697875
50,5,one_event_mid_log_return,5,-0.007120368235170321
50,5,one_event_mid_log_return,10,-0.0010362050249497498
50,5,one_event_mid_log_return,20,0.0007285654595961206
50,5,one_event_mid_log_return,50,0.0059844360348646685
50,5,one_event_mid_log_return,100,0.007181269507915028
50,5,squared_one_event_mid_log_return,1,0.09766731148280489
50,5,squared_one_event_mid_log_return,5,0.04312149486602675
50,5,squared_one_event_mid_log_return,10,0.04928795034168722
50,5,squared_one_event_mid_log_return,20,0.014182975726740092
50,5,squared_one_event_mid_log_return,50,-0.00010110921513526946
50,5,squared_one_event_mid_log_return,100,-0.001895576225831041
50,5,non_overlapping_ridge_residual_bps,1,0.04053571450837107
50,5,non_overlapping_ridge_residual_bps,2,0.03117984448649266
50,5,non_overlapping_ridge_residual_bps,5,0.033639914773072474
50,5,non_overlapping_ridge_residual_bps,10,-0.001956233282432671
50,5,non_overlapping_ridge_residual_bps,20,0.03881441088360679
