horizon,regime_type,regime_label,validation_observations_mean,validation_observations_std,validation_observations_min,validation_observations_max,sampled_observations_mean,sampled_observations_std,sampled_observations_min,sampled_observations_max,ridge_mae_improvement_pct_mean,ridge_mae_improvement_pct_std,ridge_mae_improvement_pct_min,ridge_mae_improvement_pct_max,ridge_rank_ic_mean,ridge_rank_ic_std,ridge_rank_ic_min,ridge_rank_ic_max,ridge_nonzero_directional_accuracy_mean,ridge_nonzero_directional_accuracy_std,ridge_nonzero_directional_accuracy_min,ridge_nonzero_directional_accuracy_max,active_signal_fraction_mean,active_signal_fraction_std,active_signal_fraction_min,active_signal_fraction_max,mean_gross_return_active_bps_mean,mean_gross_return_active_bps_std,mean_gross_return_active_bps_min,mean_gross_return_active_bps_max,mean_full_estimated_cost_active_bps_mean,mean_full_estimated_cost_active_bps_std,mean_full_estimated_cost_active_bps_min,mean_full_estimated_cost_active_bps_max,mean_applied_cost_active_bps_mean,mean_applied_cost_active_bps_std,mean_applied_cost_active_bps_min,mean_applied_cost_active_bps_max,mean_net_return_active_bps_mean,mean_net_return_active_bps_std,mean_net_return_active_bps_min,mean_net_return_active_bps_max,active_hit_rate_mean,active_hit_rate_std,active_hit_rate_min,active_hit_rate_max,break_even_cost_fraction_mean,break_even_cost_fraction_std,break_even_cost_fraction_min,break_even_cost_fraction_max,positive_net_fold,positive_gross_fold
10,depth,high,8226.4,2012.6964003545095,5913,11353,824.0,196.83495624507353,596,1130,-5.465470554070194,1.3167490557831314,-6.655649818974747,-3.3779158686968387,0.1492282934283406,0.0485714752397894,0.0831037130208083,0.208813564916132,0.5815121002091025,0.026233910499158446,0.542238713667285,0.6069474835886215,0.4134589985811207,0.18393133872022632,0.2248322147651006,0.7079646017699115,0.06449919090302539,0.03654908986706411,0.0177057721004889,0.1038691256739564,2.2547848129663484,0.4441990636705723,1.8539703093276587,2.981027996011162,2.2547848129663484,0.4441990636705723,1.8539703093276587,2.981027996011162,-2.1902856220633233,0.47662675859966086,-2.9633222239106733,-1.7501011836537024,0.4088762619274256,0.05098399703881334,0.3465608465608465,0.4701492537313433,0.0314671010962127,0.02057428663474178,0.0059394853467262,0.0560252368397553,0,5
10,depth,low,17798.4,5821.607406893736,8339,24302,1786.6,586.617677878872,830,2435,-6.000970653042932,1.1842664810586947,-7.079046463843901,-4.492203968651864,0.22895860637855617,0.029389804512953668,0.1897293348651546,0.2689779185196748,0.6139153883099802,0.03151902005705465,0.5686203130688023,0.6554590454842626,0.42338700184253025,0.14338476664064334,0.2698151950718686,0.6421686746987951,0.10402013151414317,0.01983892370547325,0.0692515100757284,0.117573231288942,2.572122704151256,0.3018126038713432,2.2108688434761774,3.0355684630036626,2.572122704151256,0.3018126038713432,2.2108688434761774,3.0355684630036626,-2.4681025726371133,0.32045953468521854,-2.966316952927934,-2.0932956121872355,0.4331629284567572,0.026385844484959214,0.3921200750469043,0.4580941446613088,0.041503612339556725,0.01141524491283824,0.0228133579985887,0.0531796499986313,0,5
10,depth,medium,14014.2,3851.2356069189013,9824,20347,1392.4,393.72363403788705,972,2043,-6.036285287943909,1.4747835151301585,-8.155364118033964,-4.1874694251339575,0.19171335283588606,0.03707464047235595,0.1270760200597453,0.2161679833320641,0.5968843413588303,0.02805954539468382,0.548855470775613,0.6190890990542558,0.4025439139793511,0.1438770106934202,0.2520576131687242,0.6255506607929515,0.08187720514333217,0.030813657651465123,0.0366052937779747,0.1077858811103351,2.3436161028253384,0.31809576187697525,1.9142826621322324,2.765069331959644,2.3436161028253384,0.31809576187697525,1.9142826621322324,2.765069331959644,-2.2617388976820063,0.3272442826183354,-2.728464038181669,-1.8507467231192387,0.42334166298611253,0.03059497177438223,0.3818466353677621,0.4653061224489795,0.03567240773325142,0.01345641802431738,0.0132384723069609,0.045943605807466,0,5
10,spread,one_tick,134.8,72.07773581349514,60,215,14.2,8.64291617453276,4,25,-5.824721094984525,7.690046211027984,-17.05411834674499,4.325877001227759,0.01596344633849342,0.0871057668748399,-0.0886689063815159,0.1327380104042191,0.5071341728492585,0.06860576795488699,0.4150943396226415,0.6044776119402985,0.6460634920634921,0.19928634326324798,0.52,1.0,0.06071146949012356,0.25549200331152916,-0.2778647143286683,0.4295146538799699,0.6111648514424025,0.312073253141449,0.3223283239237511,1.115727505257296,0.6111648514424025,0.312073253141449,0.3223283239237511,1.115727505257296,-0.550453381952279,0.2715706768901498,-0.8865516850037329,-0.2564592501845765,0.39186813186813185,0.24193219266381216,0.2307692307692307,0.8,0.07073596629836951,0.33738807602997234,-0.4564985414760927,0.3849637584948847,0,3
10,spread,three_plus_ticks,39644.8,143.51027837754395,39467,39765,3961.8,15.221695043588296,3941,3973,-5.965617212312292,0.8226083894254196,-6.961258479034961,-5.135347884733963,0.20002461624422258,0.04071470386212662,0.1322376720344808,0.2340879333860165,0.6018327787915057,0.030066287905122828,0.5516830503425678,0.6314441789006486,0.4139434508707535,0.1510054976419819,0.2570493454179254,0.6508935313365215,0.08763145405354278,0.027552478415344344,0.0396605691583146,0.1051405111899824,2.463861398332454,0.2993051009375822,2.1026663775744887,2.906529620536375,2.463861398332454,0.2993051009375822,2.1026663775744887,2.906529620536375,-2.3762299442789114,0.31983493236662947,-2.866869051378061,-2.013035347152077,0.42251442011112844,0.017088557224205134,0.3944315545243619,0.4378060724779627,0.036671813791619524,0.013097082165366451,0.0136453345866799,0.0455240361486876,0,5
10,spread,two_ticks,259.4,80.3386581914336,158,357,27.0,7.615773105863909,18,37,-3.380999914195738,5.22248178287574,-9.485236813068756,4.631008749571594,0.13046353046755904,0.19414386402176484,-0.0991059484334446,0.4295529977825698,0.5706342783346308,0.11909795767793539,0.4674556213017751,0.7473118279569892,0.584467071967072,0.13919571180703638,0.4545454545454545,0.8076923076923077,0.005105453715307818,0.3593256488796393,-0.4911615717558119,0.3577077234076828,0.7869830194728218,0.18654913998223244,0.5685445447745595,1.0364571334728894,0.7869830194728218,0.18654913998223244,0.5685445447745595,1.0364571334728894,-0.781877565757514,0.5221228796087433,-1.5276187052287014,-0.40140883219136,0.5623376623376624,0.1535530848835385,0.4545454545454545,0.8333333333333334,0.07290693587112132,0.41970756713381874,-0.4738850801383956,0.4543315300435215,0,3
10,volatility,high,7779.6,1934.1466593823748,5634,10693,775.8,190.42111227487354,560,1060,-6.320481850619028,1.3543956081953703,-8.343790019309116,-4.796136405279792,0.1265712422288463,0.016794876756699988,0.0980678122495018,0.1423539312772837,0.574865982449208,0.009606698596310049,0.5631091038744949,0.5876834255472697,0.4465905080237649,0.14959608604014937,0.2738589211618257,0.6779859484777517,0.0502411461823017,0.017282308389942422,0.0305118784328087,0.0644988431688573,2.40130346413713,0.2425804179079888,2.1020769399532244,2.77441567646137,2.40130346413713,0.2425804179079888,2.1020769399532244,2.77441567646137,-2.3510623179548285,0.24640524613743978,-2.7439037980285605,-2.069779927404211,0.3982136154742605,0.02931813780251233,0.3636363636363636,0.4317789291882556,0.02113849619566484,0.007500752457573755,0.0109975872367204,0.0275671479826861,0,5
10,volatility,low,18813.6,2259.908139726038,15946,21433,1879.4,229.5110019149409,1587,2146,-6.009430634734178,1.6241688024716052,-8.260513649507985,-4.28059488583001,0.24006348110918213,0.05494747121163367,0.1450665984187787,0.2741058509307056,0.6156858986904054,0.04478716942156953,0.5408584770114943,0.6459565253602065,0.4003848181712735,0.1479984700388445,0.2469973890339425,0.6261682242990654,0.10685112616550352,0.0342236538830068,0.0500305340621363,0.1320955527260115,2.421782754384392,0.3555799804785144,2.056372900685626,2.9540531138385115,2.421782754384392,0.3555799804785144,2.056372900685626,2.9540531138385115,-2.314931628218889,0.37953073056522874,-2.9040225797763752,-1.956709425130707,0.4343829884271404,0.040840737132696404,0.3666044776119403,0.4675324675324675,0.0458042141595254,0.016982189453509433,0.0169362337555015,0.0612947591586678,0,5
10,volatility,medium,13445.8,975.7428964640226,11834,14357,1347.8,101.93968805131787,1175,1437,-5.695122104518608,0.9276123278529576,-6.425147878192459,-4.08713703071102,0.18220695660211952,0.03990970945266429,0.1233745440908373,0.2288374948784802,0.5964230189829971,0.029142575352300353,0.5518265518265518,0.6272823654140652,0.41939729442521256,0.15493493571048356,0.2673992673992674,0.6680584551148225,0.08188168139608476,0.03508235213547882,0.0276647165331246,0.1158344451713321,2.4794891187427432,0.287584720679364,2.097670505508322,2.8785493532586344,2.4794891187427432,0.287584720679364,2.097670505508322,2.8785493532586344,-2.3976074373466583,0.3149100114422195,-2.85088463672551,-2.004755848921619,0.42372449170376375,0.02421085090426568,0.3957345971563981,0.4493150684931506,0.03431140978040708,0.016182373603605752,0.0096106452028717,0.049415094638158,0,5
50,depth,high,8226.4,2012.6964003545095,5913,11353,164.0,42.23150482755736,116,229,-1.7391999173966568,3.081203736824993,-6.4162506782279545,1.7685143938587031,0.10770205785879991,0.07698872027415109,0.0472945926471163,0.2416832187847548,0.5304563010708622,0.0242796291391052,0.506298629121897,0.5657846153846153,0.4146630338491503,0.19761972098459193,0.2586206896551724,0.7510917030567685,0.09786321737284795,0.11499376164984228,-0.0582757162749643,0.2297249051989976,2.323860921280427,0.42160516515261653,1.918269917249632,2.959403719023969,2.323860921280427,0.42160516515261653,1.918269917249632,2.959403719023969,-2.2259977039075785,0.4378210849800683,-2.915177766628396,-1.752210715736898,0.4994683240880497,0.06407225448086262,0.4333333333333333,0.6,0.04277499258253506,0.056109207641777875,-0.030379309893218,0.1159093679796312,0,4
