horizon,fold,model,feature,normalized_gain_importance
50,1,lightgbm_classifier,spread_bps,0.07860312644293863
50,1,lightgbm_classifier,queue_imbalance_l1,0.03804490694373828
50,1,lightgbm_classifier,microprice_deviation_bps,0.02586850517823642
50,1,lightgbm_classifier,depth_imbalance_1,0.007326405933656493
50,1,lightgbm_classifier,depth_imbalance_5,0.029757368812402096
50,1,lightgbm_classifier,depth_imbalance_10,0.02939495848102892
50,1,lightgbm_classifier,ofi_l1,0.001948234796259679
50,1,lightgbm_classifier,event_interarrival_us,0.0009577083260193365
50,1,lightgbm_classifier,is_submission,0.0
50,1,lightgbm_classifier,is_partial_cancel,0.0
50,1,lightgbm_classifier,is_deletion,0.0
50,1,lightgbm_classifier,is_visible_execution,0.0020337671664765015
50,1,lightgbm_classifier,is_hidden_execution,4.8063878360209955e-05
50,1,lightgbm_classifier,seconds_from_open,0.07019108714440998
50,1,lightgbm_classifier,session_fraction,0.013641402988996871
50,1,lightgbm_classifier,time_sin,0.013230448605983953
50,1,lightgbm_classifier,time_cos,0.03527680068964474
50,1,lightgbm_classifier,event_intensity_20,0.020025533539765814
50,1,lightgbm_classifier,ofi_l1_sum_20,0.018853940260474357
50,1,lightgbm_classifier,add_pressure_20,0.022382528674887502
50,1,lightgbm_classifier,cancel_pressure_20,0.014958329914260424
50,1,lightgbm_classifier,trade_pressure_20,0.061344072824709536
50,1,lightgbm_classifier,rolling_volatility_20,0.03643970439702245
50,1,lightgbm_classifier,event_intensity_50,0.0395308764212059
50,1,lightgbm_classifier,ofi_l1_sum_50,0.027861726446339424
50,1,lightgbm_classifier,add_pressure_50,0.06777853148158919
50,1,lightgbm_classifier,cancel_pressure_50,0.01848402792063772
50,1,lightgbm_classifier,trade_pressure_50,0.0630928355301306
50,1,lightgbm_classifier,rolling_volatility_50,0.05080948654672547
50,1,lightgbm_classifier,event_intensity_100,0.035937227657735285
50,1,lightgbm_classifier,ofi_l1_sum_100,0.04248461770155872
50,1,lightgbm_classifier,add_pressure_100,0.02048077738968782
50,1,lightgbm_classifier,cancel_pressure_100,0.02175077473942974
50,1,lightgbm_classifier,trade_pressure_100,0.03259892152138897
50,1,lightgbm_classifier,rolling_volatility_100,0.05886330164429897
50,1,lightgbm_regressor,spread_bps,0.055868644063048895
50,1,lightgbm_regressor,queue_imbalance_l1,0.02330186833079279
50,1,lightgbm_regressor,microprice_deviation_bps,0.016480435954290853
50,1,lightgbm_regressor,depth_imbalance_1,0.003912888946757534
50,1,lightgbm_regressor,depth_imbalance_5,0.015436352308680427
50,1,lightgbm_regressor,depth_imbalance_10,0.02086181404265185
50,1,lightgbm_regressor,ofi_l1,0.0021672606371243236
50,1,lightgbm_regressor,event_interarrival_us,0.0
50,1,lightgbm_regressor,is_submission,0.0
50,1,lightgbm_regressor,is_partial_cancel,0.0
50,1,lightgbm_regressor,is_deletion,0.0002998617314530777
50,1,lightgbm_regressor,is_visible_execution,0.004635575528443896
50,1,lightgbm_regressor,is_hidden_execution,0.0003266396885783235
50,1,lightgbm_regressor,seconds_from_open,0.09199909794664538
50,1,lightgbm_regressor,session_fraction,0.013759630937287068
50,1,lightgbm_regressor,time_sin,0.02384313090859243
50,1,lightgbm_regressor,time_cos,0.038080833349548995
50,1,lightgbm_regressor,event_intensity_20,0.013840385390420708
50,1,lightgbm_regressor,ofi_l1_sum_20,0.011063255059714328
50,1,lightgbm_regressor,add_pressure_20,0.005404476793019486
50,1,lightgbm_regressor,cancel_pressure_20,0.003380077480523296
50,1,lightgbm_regressor,trade_pressure_20,0.10354740564826197
50,1,lightgbm_regressor,rolling_volatility_20,0.030870390351253354
50,1,lightgbm_regressor,event_intensity_50,0.037158582921484065
50,1,lightgbm_regressor,ofi_l1_sum_50,0.044941025901514844
50,1,lightgbm_regressor,add_pressure_50,0.010737551512594104
50,1,lightgbm_regressor,cancel_pressure_50,0.009944319075672737
50,1,lightgbm_regressor,trade_pressure_50,0.09440746495801718
50,1,lightgbm_regressor,rolling_volatility_50,0.04813204819473192
50,1,lightgbm_regressor,event_intensity_100,0.04029121822785156
50,1,lightgbm_regressor,ofi_l1_sum_100,0.044124545929229556
50,1,lightgbm_regressor,add_pressure_100,0.019152965129017364
50,1,lightgbm_regressor,cancel_pressure_100,0.017810190971862837
50,1,lightgbm_regressor,trade_pressure_100,0.02897949499660208
50,1,lightgbm_regressor,rolling_volatility_100,0.1252405670843328
50,2,lightgbm_classifier,spread_bps,0.08033111596593348
50,2,lightgbm_classifier,queue_imbalance_l1,0.04008244438526838
