event_index,source_message_sequence,source_file_offset,timestamp_ns,time_seconds,message_type,event_type,order_id,old_order_id,size,old_size,price,old_price,execution_price,direction,stock_locate,stock,ask_price_1,ask_size_1,bid_price_1,bid_size_1,ask_price_2,ask_size_2,bid_price_2,bid_size_2,ask_price_3,ask_size_3,bid_price_3,bid_size_3,ask_price_4,ask_size_4,bid_price_4,bid_size_4,ask_price_5,ask_size_5,bid_price_5,bid_size_5,ask_price_6,ask_size_6,bid_price_6,bid_size_6,ask_price_7,ask_size_7,bid_price_7,bid_size_7,ask_price_8,ask_size_8,bid_price_8,bid_size_8,ask_price_9,ask_size_9,bid_price_9,bid_size_9,ask_price_10,ask_size_10,bid_price_10,bid_size_10
25163,10532228,337812985,34200000245396,34200.000245396,D,3,9795461,,100,,163.35,,,-1,14,AAPL,163.34,185.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25164,10532232,337813103,34200000256026,34200.000256026,D,3,9795465,,100,,163.34,,,-1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25165,10534800,337903506,34200006086232,34200.006086232,F,1,9806105,,100,,137.13,,,1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25166,10534817,337904106,34200006105392,34200.006105392,F,1,9806141,,100,,189.47,,,-1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25167,10535949,337944419,34200007269917,34200.007269917,X,2,8817337,,1900,,162.0,,,1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25168,10536069,337948796,34200007475109,34200.007475109,D,3,8732569,,200,,156.0,,,1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,100.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25169,10540900,338128626,34200015403539,34200.015403539,A,1,9818125,,100,,163.38,,,-1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,200.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25170,10566482,339075730,34200058745380,34200.05874538,A,1,9847961,,100,,153.46,,,1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,200.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25171,10566495,339076198,34200058771432,34200.058771432,A,1,9847985,,100,,173.13,,,-1,14,AAPL,163.34,85.0,163.24,1849.0,163.38,200.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
25172,10572088,339282883,34200068441198,34200.068441198,A,1,9853241,,100,,163.34,,,-1,14,AAPL,163.34,185.0,163.24,1849.0,163.38,200.0,163.22,100.0,163.39,100.0,163.2,100.0,163.4,200.0,163.16,300.0,163.42,20.0,163.02,20.0,163.46,300.0,163.0,26.0,163.5,29165.0,162.82,100.0,163.6,152.0,162.8,100.0,163.68,21.0,162.6,4.0,163.69,50.0,162.53,2300.0
